timestamp,count,aggregate
1010200,79,3081
1010400,159,12561
1010600,239,28441
1010800,318,50403
1011000,398,79003
1011200,478,114003
1011400,557,154846
1011600,637,202566
1011800,717,256686
1012000,797,317206
1012200,876,383250
1012400,956,456490
1012600,1036,500130
1012800,1115,506055
1013000,1195,518415
1013200,1275,537175
1013400,1354,561981
1013600,1434,593461
1013800,1514,631341
1014000,1594,675621
1014200,1673,725628
1014400,1753,782628
1014600,1830,843572
1014800,1910,913095
1015000,1990,989055
1015200,2070,1.00142e+06
1015400,2150,1.01018e+06
1015600,2229,1.02511e+06
1015800,2309,1.04659e+06
1016000,2389,1.07447e+06
1016200,2468,1.10828e+06
1016400,2548,1.14888e+06
1016600,2628,1.19588e+06
1016800,2707,1.24857e+06
1017000,2787,1.30829e+06
1017200,2867,1.37441e+06
1017400,2947,1.44693e+06
1017600,3000,1.4985e+06
1017800,3000,1.4985e+06
1018000,3000,1.4985e+06
1018200,3000,1.4985e+06
1018400,3000,1.4985e+06
1018600,3000,1.4985e+06
1018800,3000,1.4985e+06
1019000,3000,1.4985e+06
1019200,3000,1.4985e+06
1019400,3000,1.4985e+06
1019600,3000,1.4985e+06
1019800,3000,1.4985e+06
1020000,3000,1.4985e+06
1020200,3000,1.4985e+06
1020400,3000,1.4985e+06
1020600,3000,1.4985e+06
1020800,3000,1.4985e+06
1021000,3000,1.4985e+06
1021200,3000,1.4985e+06
1021400,3000,1.4985e+06
1021600,3000,1.4985e+06
1021800,3000,1.4985e+06
1022000,3000,1.4985e+06
1022200,3000,1.4985e+06
1022400,3000,1.4985e+06
1022600,3000,1.4985e+06
1022800,3000,1.4985e+06
1023000,3000,1.4985e+06
1023200,3000,1.4985e+06
1023400,3000,1.4985e+06
1023600,3000,1.4985e+06
1023800,3000,1.4985e+06
1024000,3000,1.4985e+06
1024200,3000,1.4985e+06
1024400,3000,1.4985e+06
1024600,3000,1.4985e+06
1024800,3000,1.4985e+06
1025000,3000,1.4985e+06
1025200,3000,1.4985e+06
1025400,3000,1.4985e+06
1025600,3000,1.4985e+06
1025800,3000,1.4985e+06
1026000,3000,1.4985e+06
1026200,3000,1.4985e+06
1026400,3000,1.4985e+06
1026600,3000,1.4985e+06
1026800,3000,1.4985e+06
1027000,3000,1.4985e+06
1027200,3000,1.4985e+06
1027400,3000,1.4985e+06
1027600,3000,1.4985e+06
1027800,3000,1.4985e+06
1028000,3000,1.4985e+06
1028200,3000,1.4985e+06
1028400,3000,1.4985e+06
1028600,3000,1.4985e+06
1028800,3000,1.4985e+06
1029000,3000,1.4985e+06
1029200,3000,1.4985e+06
1029400,3000,1.4985e+06
1029600,3000,1.4985e+06
1029800,3000,1.4985e+06
1030000,3000,1.4985e+06
1030200,2921,1.49542e+06
1030400,2841,1.48594e+06
1030600,2761,1.47006e+06
1030800,2682,1.4481e+06
1031000,2602,1.4195e+06
1031200,2522,1.3845e+06
1031400,2443,1.34365e+06
1031600,2363,1.29593e+06
1031800,2283,1.24181e+06
1032000,2203,1.18129e+06
1032200,2124,1.11525e+06
1032400,2044,1.04201e+06
1032600,1964,998370
1032800,1885,992445
1033000,1805,980085
1033200,1725,961325
1033400,1646,936519
1033600,1566,905039
1033800,1486,867159
1034000,1406,822879
1034200,1327,772872
1034400,1247,715872
1034600,1170,654928
1034800,1090,585405
1035000,1010,509445
1035200,930,497085
1035400,850,488325
1035600,771,473394
1035800,691,451914
1036000,611,424034
1036200,532,390222
1036400,452,349622
1036600,372,302622
1036800,293,249929
1037000,213,190209
1037200,133,124089
1037400,53,51569
